timestamp,wind speed
"2020-07-16",1.1165
"2020-07-17",0.7434
"2020-07-18",0.7852
"2020-07-19",1.3001
"2020-07-20",1.2463
"2020-07-21",0.7496
"2020-07-22",0.9167
"2020-07-23",0.5938
"2020-07-24",0.4876
"2020-07-25",0.8349
"2020-07-26",0.8188
"2020-07-27",0.9768
"2020-07-28",1.2026
"2020-07-29",1.5246
"2020-07-30",1.5611
"2020-07-31",1.3132
"2020-08-01",1.4132
"2020-08-02",1.9399
"2020-08-03",1.7045
"2020-08-04",1.0412
"2020-08-05",1.2607
"2020-08-06",0.7869
"2020-08-07",0.5917
"2020-08-08",1.0121
"2020-08-09",0.6406
"2020-08-10",0.7716
"2020-08-11",0.4354
"2020-08-12",1.2353
"2020-08-13",0.8952
"2020-08-14",0.9302
"2020-08-15",0.4653
"2020-08-16",1.6818
"2020-08-17",1.5347
"2020-08-18",1.9181
"2020-08-19",2.0631
"2020-08-20",2.2151
"2020-08-21",2.1931
"2020-08-22",1.6467
"2020-08-23",1.8251
"2020-08-24",1.9493
"2020-08-25",2.0236
"2020-08-26",1.8271
"2020-08-27",1.6043
"2020-08-28",1.2251
"2020-08-29",1.6486
"2020-08-30",1.7283
"2020-08-31",1.4684
"2020-09-01",1.8335
"2020-09-02",2.1967
"2020-09-03",1.239
"2020-09-04",0.5231
"2020-09-05",0.6916
"2020-09-06",1.1766
"2020-09-07",1.0159
"2020-09-08",2.03
"2020-09-09",1.6955
"2020-09-10",1.3854
"2020-09-11",2.0435
"2020-09-12",1.6914
"2020-09-13",1.9975
"2020-09-14",1.942
"2020-09-15",1.8492
"2020-09-16",1.3306
"2020-09-17",1.7341
"2020-09-18",2.1436
"2020-09-19",1.8904
"2020-09-20",1.9532
"2020-09-21",1.8686
"2020-09-22",1.5859
"2020-09-23",1.9705
"2020-09-24",1.8244
"2020-09-25",1.3032
"2020-09-26",1.4755
"2020-09-27",2.2808
"2020-09-28",2.252
"2020-09-29",1.9003
"2020-09-30",1.8805
"2020-10-01",2.1403
"2020-10-02",2.1498
"2020-10-03",2.2828
"2020-10-04",2.139
"2020-10-05",1.929
"2020-10-06",1.394
"2020-10-07",2.1255
"2020-10-08",2.1337
"2020-10-09",1.6787
"2020-10-10",1.34
"2020-10-11",1.1958
"2020-10-12",1.9651
"2020-10-13",1.9778
"2020-10-14",2.2915
"2020-10-15",2.2088
"2020-10-16",1.5236
"2020-10-17",1.985
"2020-10-18",2.0548
"2020-10-19",1.6464
"2020-10-20",1.6547
"2020-10-21",2.1402
"2020-10-22",2.2212
"2020-10-23",1.7738
"2020-10-24",2.0763
"2020-10-25",2.1691
"2020-10-26",1.3031
"2020-10-27",1.8073
"2020-10-28",2.1628
"2020-10-29",2.4499
"2020-10-30",2.1079
"2020-10-31",2.079
"2020-11-01",2.445
"2020-11-02",2.6447
"2020-11-03",2.4125
"2020-11-04",2.4133
"2020-11-05",1.7209
"2020-11-06",1.8135
"2020-11-07",1.9683
"2020-11-08",2.1502
"2020-11-09",2.0001
"2020-11-10",2.7296
"2020-11-11",2.1307
"2020-11-12",3.046
"2020-11-13",2.9076
"2020-11-14",2.3045
"2020-11-15",2.2888
"2020-11-16",2.4484
"2020-11-17",2.9397
"2020-11-18",2.9614
"2020-11-19",2.1229
"2020-11-20",2.2507
"2020-11-21",2.726
"2020-11-22",2.2804
"2020-11-23",1.9855
"2020-11-24",1.8332
"2020-11-25",1.3183
"2020-11-26",1.9609
"2020-11-27",2.6325
"2020-11-28",2.0209
"2020-11-29",1.318
"2020-11-30",1.5585
"2020-12-01",2.116
"2020-12-02",2.8188
"2020-12-03",2.8285
"2020-12-04",2.6358
"2020-12-05",2.1056
"2020-12-06",1.9037
"2020-12-07",2.1865
"2020-12-08",2.493
"2020-12-09",2.5988
"2020-12-10",2.8517
"2020-12-11",2.6404
"2020-12-12",2.8145
"2020-12-13",3.0578
"2020-12-14",2.3199
"2020-12-15",2.1026
